cell_id,strain,well,condition,batch,strain_group
NOD2_D8_S327_L002,NOD2,D8,CD45neg_MHCIIhi,batch2,NOD
NOD2_D9_S328_L002,NOD2,D9,CD45neg_MHCIIhi,batch2,NOD
NOD2_E1_S332_L002,NOD2,E1,CD45neg_MHCIIhi,batch2,NOD
NOD2_E10_S341_L002,NOD2,E10,CD45neg_MHCIIlo,batch2,NOD
NOD2_E11_S342_L002,NOD2,E11,CD45neg_MHCIIlo,batch2,NOD
NOD2_E12_S343_L002,NOD2,E12,CD45neg_MHCIIlo,batch2,NOD
NOD2_E2_S333_L002,NOD2,E2,CD45neg_MHCIIhi,batch2,NOD
NOD2_E3_S334_L002,NOD2,E3,CD45neg_MHCIIhi,batch2,NOD
NOD2_E4_S335_L002,NOD2,E4,CD45neg_MHCIIhi,batch2,NOD
NOD2_E5_S336_L002,NOD2,E5,CD45neg_MHCIIhi,batch2,NOD
NOD2_E6_S337_L002,NOD2,E6,CD45neg_MHCIIhi,batch2,NOD
NOD2_E7_S338_L002,NOD2,E7,CD45neg_MHCIIlo,batch2,NOD
NOD2_E8_S339_L002,NOD2,E8,CD45neg_MHCIIlo,batch2,NOD
NOD2_E9_S340_L002,NOD2,E9,CD45neg_MHCIIlo,batch2,NOD
NOD2_F1_S344_L002,NOD2,F1,CD45neg_MHCIIlo,batch2,NOD
NOD2_F10_S353_L002,NOD2,F10,CD45neg_MHCIIlo,batch2,NOD
NOD2_F11_S354_L002,NOD2,F11,CD45neg_MHCIIlo,batch2,NOD
NOD2_F12_S355_L002,NOD2,F12,CD45neg_MHCIIlo,batch2,NOD
NOD2_F2_S345_L002,NOD2,F2,CD45neg_MHCIIlo,batch2,NOD
NOD2_F3_S346_L002,NOD2,F3,CD45neg_MHCIIlo,batch2,NOD
NOD2_F4_S347_L002,NOD2,F4,CD45neg_MHCIIlo,batch2,NOD
NOD2_F5_S348_L002,NOD2,F5,CD45neg_MHCIIlo,batch2,NOD
NOD2_F6_S349_L002,NOD2,F6,CD45neg_MHCIIlo,batch2,NOD
NOD2_F7_S350_L002,NOD2,F7,CD45neg_MHCIIlo,batch2,NOD
NOD2_F8_S351_L002,NOD2,F8,CD45neg_MHCIIlo,batch2,NOD
NOD2_F9_S352_L002,NOD2,F9,CD45neg_MHCIIlo,batch2,NOD
NOD2_G1_S356_L002,NOD2,G1,CD45neg_MHCIIlo,batch2,NOD
NOD2_G10_S365_L002,NOD2,G10,CD45neg_MHCIIlo,batch2,NOD
NOD2_G11_S366_L002,NOD2,G11,CD45neg_MHCIIlo,batch2,NOD
NOD2_G12_S367_L002,NOD2,G12,CD45neg_MHCIIlo,batch2,NOD
NOD2_G2_S357_L002,NOD2,G2,CD45neg_MHCIIlo,batch2,NOD
NOD2_G3_S358_L002,NOD2,G3,CD45neg_MHCIIlo,batch2,NOD
NOD2_G4_S359_L002,NOD2,G4,CD45neg_MHCIIlo,batch2,NOD
NOD2_G5_S360_L002,NOD2,G5,CD45neg_MHCIIlo,batch2,NOD
NOD2_G6_S361_L002,NOD2,G6,CD45neg_MHCIIlo,batch2,NOD
NOD2_G7_S362_L002,NOD2,G7,CD45neg_MHCIIlo,batch2,NOD
NOD2_G8_S363_L002,NOD2,G8,CD45neg_MHCIIlo,batch2,NOD
NOD2_G9_S364_L002,NOD2,G9,CD45neg_MHCIIlo,batch2,NOD
NOD2_H1_S368_L002,NOD2,H1,CD45neg_MHCIIlo,batch2,NOD
NOD2_H10_S377_L002,NOD2,H10,CD45neg_MHCIIlo,batch2,NOD
NOD2_H11_S378_L002,NOD2,H11,CD45neg_MHCIIlo,batch2,NOD
NOD2_H12_S379_L002,NOD2,H12,CD45neg_MHCIIlo,batch2,NOD
NOD2_H2_S369_L002,NOD2,H2,CD45neg_MHCIIlo,batch2,NOD
NOD2_H3_S370_L002,NOD2,H3,CD45neg_MHCIIlo,batch2,NOD
NOD2_H4_S371_L002,NOD2,H4,CD45neg_MHCIIlo,batch2,NOD
NOD2_H5_S372_L002,NOD2,H5,CD45neg_MHCIIlo,batch2,NOD
NOD2_H6_S373_L002,NOD2,H6,CD45neg_MHCIIlo,batch2,NOD
NOD2_H7_S374_L002,NOD2,H7,CD45neg_MHCIIlo,batch2,NOD
NOD2_H8_S375_L002,NOD2,H8,CD45neg_MHCIIlo,batch2,NOD
NOD2_H9_S376_L002,NOD2,H9,CD45neg_MHCIIlo,batch2,NOD
NODPDL1_A1_S1_L001L002,NODPDL1,A1,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A2_S2_L001L002,NODPDL1,A2,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A3_S3_L001L002,NODPDL1,A3,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A4_S4_L001L002,NODPDL1,A4,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A5_S5_L001L002,NODPDL1,A5,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A6_S6_L001L002,NODPDL1,A6,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A7_S7_L001L002,NODPDL1,A7,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A8_S8_L001L002,NODPDL1,A8,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A9_S9_L001L002,NODPDL1,A9,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A10_S10_L001L002,NODPDL1,A10,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A11_S11_L001L002,NODPDL1,A11,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_A12_S12_L001L002,NODPDL1,A12,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_B1_S13_L001L002,NODPDL1,B1,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_B2_S14_L001L002,NODPDL1,B2,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_B3_S15_L001L002,NODPDL1,B3,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_B4_S16_L001L002,NODPDL1,B4,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_B5_S17_L001L002,NODPDL1,B5,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_B6_S18_L001L002,NODPDL1,B6,CD45pos_MHCIIpos,batch3,NODPDL1
NODPDL1_B7_S19_L001L002,NODPDL1,B7,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_B8_S20_L001L002,NODPDL1,B8,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_B9_S21_L001L002,NODPDL1,B9,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_B10_S22_L001L002,NODPDL1,B10,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_B11_S23_L001L002,NODPDL1,B11,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_B12_S24_L001L002,NODPDL1,B12,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C1_S25_L001L002,NODPDL1,C1,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C2_S26_L001L002,NODPDL1,C2,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C3_S27_L001L002,NODPDL1,C3,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C4_S28_L001L002,NODPDL1,C4,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C5_S29_L001L002,NODPDL1,C5,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C6_S30_L001L002,NODPDL1,C6,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C7_S31_L001L002,NODPDL1,C7,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C8_S32_L001L002,NODPDL1,C8,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C9_S33_L001L002,NODPDL1,C9,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C10_S34_L001L002,NODPDL1,C10,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C11_S35_L001L002,NODPDL1,C11,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_C12_S36_L001L002,NODPDL1,C12,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D1_S37_L001L002,NODPDL1,D1,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D2_S38_L001L002,NODPDL1,D2,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D3_S39_L001L002,NODPDL1,D3,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D4_S40_L001L002,NODPDL1,D4,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D5_S41_L001L002,NODPDL1,D5,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D6_S42_L001L002,NODPDL1,D6,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D7_S43_L001L002,NODPDL1,D7,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D8_S44_L001L002,NODPDL1,D8,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D9_S45_L001L002,NODPDL1,D9,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D10_S46_L001L002,NODPDL1,D10,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D11_S47_L001L002,NODPDL1,D11,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_D12_S48_L001L002,NODPDL1,D12,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E1_S49_L001L002,NODPDL1,E1,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E2_S50_L001L002,NODPDL1,E2,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E3_S51_L001L002,NODPDL1,E3,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E4_S52_L001L002,NODPDL1,E4,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E5_S53_L001L002,NODPDL1,E5,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E6_S54_L001L002,NODPDL1,E6,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E7_S55_L001L002,NODPDL1,E7,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E8_S56_L001L002,NODPDL1,E8,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E9_S57_L001L002,NODPDL1,E9,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E10_S58_L001L002,NODPDL1,E10,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E11_S59_L001L002,NODPDL1,E11,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_E12_S60_L001L002,NODPDL1,E12,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F1_S61_L001L002,NODPDL1,F1,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F2_S62_L001L002,NODPDL1,F2,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F3_S63_L001L002,NODPDL1,F3,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F4_S64_L001L002,NODPDL1,F4,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F5_S65_L001L002,NODPDL1,F5,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F6_S66_L001L002,NODPDL1,F6,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F7_S67_L001L002,NODPDL1,F7,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F8_S68_L001L002,NODPDL1,F8,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F9_S69_L001L002,NODPDL1,F9,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F10_S70_L001L002,NODPDL1,F10,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F11_S71_L001L002,NODPDL1,F11,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_F12_S72_L001L002,NODPDL1,F12,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G1_S73_L001L002,NODPDL1,G1,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G2_S74_L001L002,NODPDL1,G2,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G3_S75_L001L002,NODPDL1,G3,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G4_S76_L001L002,NODPDL1,G4,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G5_S77_L001L002,NODPDL1,G5,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G6_S78_L001L002,NODPDL1,G6,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G7_S79_L001L002,NODPDL1,G7,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G8_S80_L001L002,NODPDL1,G8,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G9_S81_L001L002,NODPDL1,G9,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G10_S82_L001L002,NODPDL1,G10,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G11_S83_L001L002,NODPDL1,G11,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_G12_S84_L001L002,NODPDL1,G12,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H1_S85_L001L002,NODPDL1,H1,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H2_S86_L001L002,NODPDL1,H2,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H3_S87_L001L002,NODPDL1,H3,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H4_S88_L001L002,NODPDL1,H4,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H5_S89_L001L002,NODPDL1,H5,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H6_S90_L001L002,NODPDL1,H6,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H7_S91_L001L002,NODPDL1,H7,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H8_S92_L001L002,NODPDL1,H8,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H9_S93_L001L002,NODPDL1,H9,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H10_S94_L001L002,NODPDL1,H10,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H11_S95_L001L002,NODPDL1,H11,CD45neg_MHCIIpos,batch3,NODPDL1
NODPDL1_H12_S96_L001L002,NODPDL1,H12,CD45neg_MHCIIpos,batch3,NODPDL1
NODCD31_A1_S67_L002,NODCD31,A1,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A2_S68_L002,NODCD31,A2,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A3_S69_L002,NODCD31,A3,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A4_S70_L002,NODCD31,A4,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A5_S71_L002,NODCD31,A5,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A6_S72_L002,NODCD31,A6,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A7_S73_L002,NODCD31,A7,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A8_S74_L002,NODCD31,A8,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A9_S75_L002,NODCD31,A9,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A10_S76_L002,NODCD31,A10,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A11_S77_L002,NODCD31,A11,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_A12_S78_L002,NODCD31,A12,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_B1_S79_L002,NODCD31,B1,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_B2_S80_L002,NODCD31,B2,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_B3_S81_L002,NODCD31,B3,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_B4_S82_L002,NODCD31,B4,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_B5_S83_L002,NODCD31,B5,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_B6_S84_L002,NODCD31,B6,CD45neg_MHCIIpos_CD31neg,batch4,NODCD31
NODCD31_B7_S85_L002,NODCD31,B7,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_B8_S86_L002,NODCD31,B8,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_B9_S87_L002,NODCD31,B9,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_B10_S88_L002,NODCD31,B10,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_B11_S89_L002,NODCD31,B11,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_B12_S90_L002,NODCD31,B12,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C1_S91_L002,NODCD31,C1,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C2_S92_L002,NODCD31,C2,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C3_S93_L002,NODCD31,C3,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C4_S94_L002,NODCD31,C4,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C5_S95_L002,NODCD31,C5,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C6_S96_L002,NODCD31,C6,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C7_S97_L002,NODCD31,C7,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C8_S98_L002,NODCD31,C8,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C9_S99_L002,NODCD31,C9,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C10_S100_L002,NODCD31,C10,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C11_S101_L002,NODCD31,C11,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_C12_S102_L002,NODCD31,C12,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D1_S103_L002,NODCD31,D1,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D2_S104_L002,NODCD31,D2,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D3_S105_L002,NODCD31,D3,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D4_S106_L002,NODCD31,D4,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D5_S107_L002,NODCD31,D5,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D6_S108_L002,NODCD31,D6,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D7_S109_L002,NODCD31,D7,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D8_S110_L002,NODCD31,D8,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D9_S111_L002,NODCD31,D9,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D10_S112_L002,NODCD31,D10,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D11_S113_L002,NODCD31,D11,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_D12_S114_L002,NODCD31,D12,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E1_S115_L002,NODCD31,E1,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E2_S116_L002,NODCD31,E2,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E3_S117_L002,NODCD31,E3,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E4_S118_L002,NODCD31,E4,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E5_S119_L002,NODCD31,E5,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E6_S120_L002,NODCD31,E6,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E7_S121_L002,NODCD31,E7,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E8_S122_L002,NODCD31,E8,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E9_S123_L002,NODCD31,E9,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E10_S124_L002,NODCD31,E10,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E11_S125_L002,NODCD31,E11,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_E12_S126_L002,NODCD31,E12,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F1_S127_L002,NODCD31,F1,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F2_S128_L002,NODCD31,F2,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F3_S129_L002,NODCD31,F3,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F4_S130_L002,NODCD31,F4,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F5_S131_L002,NODCD31,F5,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F6_S132_L002,NODCD31,F6,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F7_S133_L002,NODCD31,F7,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F8_S134_L002,NODCD31,F8,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F9_S135_L002,NODCD31,F9,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F10_S136_L002,NODCD31,F10,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F11_S137_L002,NODCD31,F11,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_F12_S138_L002,NODCD31,F12,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G1_S139_L002,NODCD31,G1,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G2_S140_L002,NODCD31,G2,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G3_S141_L002,NODCD31,G3,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G4_S142_L002,NODCD31,G4,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G5_S143_L002,NODCD31,G5,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G6_S144_L002,NODCD31,G6,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G7_S145_L002,NODCD31,G7,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G8_S146_L002,NODCD31,G8,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G9_S147_L002,NODCD31,G9,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G10_S148_L002,NODCD31,G10,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G11_S149_L002,NODCD31,G11,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_G12_S150_L002,NODCD31,G12,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H1_S151_L002,NODCD31,H1,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H2_S152_L002,NODCD31,H2,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H3_S153_L002,NODCD31,H3,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H4_S154_L002,NODCD31,H4,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H5_S155_L002,NODCD31,H5,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H6_S156_L002,NODCD31,H6,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H7_S157_L002,NODCD31,H7,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H8_S158_L002,NODCD31,H8,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H9_S159_L002,NODCD31,H9,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H10_S160_L002,NODCD31,H10,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H11_S161_L002,NODCD31,H11,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
NODCD31_H12_S162_L002,NODCD31,H12,CD45neg_MHCIIpos_CD31pos,batch4,NODCD31
